frame,action
28294,boop
28304,unboop
28425,boop
28452,unboop
28462,boop
28556,unboop
28578,boop
28632,unboop
28644,boop
28811,unboop
28827,boop
28831,unboop
28844,boop
28846,unboop
28858,boop
28894,unboop
28902,boop
28904,unboop
28916,boop
28965,unboop
28974,boop
28988,unboop
28994,boop
29019,unboop
29018,boop
29037,unboop
29080,boop
29123,unboop
29136,boop
29145,unboop
29156,boop
29177,unboop
29206,boop
29240,unboop
29247,boop
29261,unboop
29268,boop
29305,unboop
29320,boop
29340,unboop
29346,boop
29361,unboop
29409,boop
29450,unboop
29455,boop
29465,unboop
29490,boop
29492,unboop
29529,boop
29535,unboop
29548,boop
29562,unboop
29608,boop
29613,unboop
29623,boop
29689,unboop
29718,boop
29723,unboop
29731,boop
29772,unboop
29812,boop
29814,unboop
29834,boop
29838,unboop
29870,boop
29876,unboop
29881,boop
29893,unboop
29899,boop
29908,unboop
29933,boop
29959,unboop
29968,boop
29991,unboop
30006,boop
30032,unboop
30042,boop
30045,unboop
30085,boop
30104,unboop
